comparison_id,trial_id,ae_concept,source_1,source_2,arm_id_1,arm_id_2,denominator_1,denominator_2,percentage_1,percentage_2,absolute_percentage_difference,analysis_tier,analysis_use,grade_basis,review_status,source_confirmation_status
FULLCOMP000111,TRIAL002,serious_adverse_event,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,40.0,40.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000119,TRIAL002,serious_adverse_event,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,47.0,48.0,1.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000131,TRIAL003,any_adverse_event,publication,FDA review,TRIAL003_EG000,TRIAL003_EG000,125,125,94.0,93.6,0.40,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000132,TRIAL003,any_adverse_event,publication,FDA review,TRIAL003_EG000,TRIAL003_EG000,125,125,100.0,100.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000137,TRIAL003,fatal_adverse_event,publication,FDA review,TRIAL003_EG000,TRIAL003_EG000,125,125,0.8,0.0,0.80,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000143,TRIAL003,grade_3_or_higher_adverse_event,publication,FDA review,TRIAL003_EG000,TRIAL003_EG000,125,125,54.0,54.4,0.40,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000144,TRIAL003,grade_3_or_higher_adverse_event,publication,FDA review,TRIAL003_EG000,TRIAL003_EG000,125,125,73.0,72.8,0.20,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000146,TRIAL003,serious_adverse_event,ClinicalTrials.gov,FDA review,TRIAL003_EG000,TRIAL003_EG000,125,125,47.200,46.4,0.80,primary_candidate,primary_analysis_candidate,P1_recommended_A,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000150,TRIAL004,adverse_event_leading_to_discontinuation,publication,FDA review,TRIAL004_EG000,TRIAL004_EG000,108,108,2.8,4.6,1.80,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000259,TRIAL014,serious_adverse_event,publication,ClinicalTrials.gov,TRIAL014_EG000,TRIAL014_EG000,250,250,32.8,32.800,0.00,primary_candidate,primary_analysis_candidate,P1_recommended_A,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000262,TRIAL014,serious_adverse_event,publication,ClinicalTrials.gov,TRIAL014_EG001,TRIAL014_EG001,239,239,39.3,39.331,0.03,primary_candidate,primary_analysis_candidate,P1_recommended_A,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000003,TRIAL001,any_adverse_event,publication,FDA review,,,184,234,99.5,99.6,0.10,sensitivity_candidate,sensitivity_analysis_candidate,P3_P4_recommended_B,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000005,TRIAL001,dose_interruption,publication,FDA review,,,184,234,35.3,33.3,2.00,sensitivity_candidate,sensitivity_analysis_candidate,P3_P4_recommended_B,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000040,TRIAL001,serious_adverse_event,publication,FDA review,,,184,234,22.8,20.1,2.70,sensitivity_candidate,sensitivity_analysis_candidate,P3_P4_recommended_B,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000106,TRIAL002,serious_adverse_event,publication,ClinicalTrials.gov,TRIAL002_EG000,TRIAL002_EG000,95,95,40.0,45.263,5.26,sensitivity_candidate,sensitivity_analysis_candidate,P1_recommended_B,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000114,TRIAL002,serious_adverse_event,publication,ClinicalTrials.gov,TRIAL002_EG001,TRIAL002_EG001,99,99,47.0,53.535,6.53,sensitivity_candidate,sensitivity_analysis_candidate,P1_recommended_B,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000120,TRIAL002,serious_adverse_event,ClinicalTrials.gov,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,45.263,40.0,5.26,sensitivity_candidate,sensitivity_analysis_candidate,P1_recommended_B,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000123,TRIAL002,serious_adverse_event,ClinicalTrials.gov,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,53.535,48.0,5.53,sensitivity_candidate,sensitivity_analysis_candidate,P1_recommended_B,auto_source_confirmed_needs_final_audit,auto_source_confirmed
